party,state,finance.better,vote.method,child.indep,child.curio,child.obed,child.consid,us.world,us.better,rural.govt,rural.infl,rural.resp,women.child,women.work,women.favors,women.comp,year,Religion,President
NA,47,3,NA,2,1,2,1,5,3,4,4,4,4,6,5,5,2020,Roman Catholic,Biden
1,22,3,NA,1,1,2,1,5,4,6,3,4,7,7,5,5,2020,Not Religious,Biden
4,34,2,NA,2,1,2,1,3,1,4,4,4,6,4,4,4,2020,Roman Catholic,Biden
4,6,3,NA,2,1,1,1,1,3,4,4,6,4,1,5,2,2020,Evangelical,Biden
4,6,2,NA,1,2,2,1,3,2,4,4,4,7,1,4,4,2020,Other Christian,Biden
1,6,3,NA,1,1,2,1,5,5,1,1,4,4,4,5,5,2020,Not Religious,Trump
1,8,3,NA,2,1,2,1,5,3,4,1,6,6,4,5,4,2020,Other Religion,Biden
NA,17,4,NA,2,2,2,1,5,5,7,7,6,4,4,5,3,2020,Evangelical,Biden
1,6,3,NA,1,1,2,1,4,2,4,4,4,4,4,5,5,2020,Other Religion,Biden
NA,27,3,NA,2,2,1,2,3,3,6,6,6,6,6,5,4,2020,Roman Catholic,Biden
NA,27,4,2,2,2,1,2,3,4,4,6,6,4,2,5,5,2020,Mainline,NA
1,42,3,NA,2,2,1,1,4,2,4,4,6,4,4,4,4,2020,Mainline,Biden
2,42,3,NA,2,1,2,2,2,1,6,6,5,4,4,4,4,2020,Roman Catholic,Trump
NA,NA,4,NA,2,2,1,1,4,3,4,6,2,2,4,2,3,2020,Other Christian,NA
1,36,4,NA,2,2,1,2,4,5,1,1,7,4,4,4,5,2020,Roman Catholic,NA
1,42,3,NA,2,1,2,1,2,1,6,4,4,6,2,5,4,2020,Other Christian,Biden
4,12,2,NA,2,2,2,1,1,1,7,7,7,7,4,3,4,2020,Jewish,Trump
NA,48,2,NA,2,2,1,2,4,1,4,4,4,5,3,3,4,2020,Mainline,Biden
1,40,1,NA,1,1,2,1,4,1,6,7,7,6,4,4,4,2020,Mainline,Trump
2,4,2,NA,2,2,1,1,4,1,4,6,5,6,7,2,2,2020,Evangelical,Trump
1,10,3,NA,2,2,2,1,4,3,6,6,6,5,1,5,5,2020,Other Christian,Biden
4,11,2,NA,2,2,2,2,5,5,4,4,4,4,4,4,4,2020,Evangelical,NA
NA,18,4,NA,2,1,2,1,5,5,7,6,4,4,4,5,5,2020,Evangelical,Biden
1,32,3,NA,2,2,2,2,2,1,4,5,7,6,3,2,4,2020,Other Christian,Biden
4,12,3,NA,2,2,1,1,3,4,6,5,6,6,4,4,4,2020,Not Religious,NA
4,54,3,NA,2,1,2,1,2,2,4,4,4,4,4,4,4,2020,Roman Catholic,Biden
2,25,3,NA,2,2,1,2,3,2,4,6,6,4,4,5,5,2020,Roman Catholic,NA
NA,39,3,NA,1,2,1,2,3,2,4,4,4,7,1,3,3,2020,Mainline,Trump
NA,51,2,NA,2,2,1,1,3,1,3,5,7,4,4,4,3,2020,Mainline,NA
2,36,3,NA,1,1,2,1,4,4,4,5,5,4,4,4,4,2020,Not Religious,Trump
2,40,4,NA,2,2,1,1,3,1,6,4,7,6,2,5,4,2020,Evangelical,Trump
NA,39,3,NA,2,1,2,1,3,2,4,2,4,6,2,4,4,2020,Mainline,Biden
NA,15,3,NA,2,2,1,2,3,3,4,7,7,6,2,4,4,2020,Not Religious,Trump
NA,48,2,NA,2,1,1,1,3,1,4,4,4,6,2,2,2,2020,Evangelical,Trump
1,25,2,NA,2,1,2,1,4,3,4,3,7,7,1,4,4,2020,Not Religious,Biden
NA,13,4,NA,2,2,2,1,5,3,4,4,6,7,6,5,5,2020,Roman Catholic,Biden
NA,45,3,NA,1,1,2,1,5,3,4,4,4,4,4,5,5,2020,Undifferentiated Protestant,Biden
NA,53,3,NA,1,1,2,1,4,3,4,4,4,6,4,4,4,2020,Mainline,Biden
1,42,2,NA,2,2,1,1,1,1,4,4,4,4,4,4,1,2020,Jewish,NA
4,42,4,NA,2,2,1,1,2,3,5,4,4,4,4,1,2,2020,Roman Catholic,NA
1,6,3,NA,2,1,2,1,4,3,5,5,5,4,4,5,5,2020,Not Religious,Biden
2,16,2,NA,2,2,1,1,2,3,6,6,7,6,2,3,3,2020,Other Christian,Trump
NA,18,2,NA,1,1,2,1,4,1,4,6,6,5,4,4,4,2020,Evangelical,Trump
1,42,3,NA,2,2,2,1,4,2,4,6,7,4,4,5,5,2020,Roman Catholic,Biden
2,24,2,NA,2,2,1,2,3,1,5,6,4,7,2,4,4,2020,Evangelical,Trump
4,25,3,NA,2,1,1,1,3,2,4,4,4,4,4,5,5,2020,Roman Catholic,Trump
4,20,3,NA,1,1,2,1,3,2,4,6,6,6,4,4,4,2020,Evangelical,Trump
2,42,4,NA,1,2,2,1,4,3,6,6,4,6,4,4,5,2020,Mainline,Biden
2,36,3,1,2,2,1,2,3,1,7,7,7,4,4,4,4,2020,Roman Catholic,NA
2,6,3,NA,1,1,2,1,2,3,4,1,4,7,4,4,4,2020,Not Religious,Trump
NA,17,3,NA,2,2,2,1,3,1,6,6,5,6,2,4,4,2020,Roman Catholic,NA
NA,39,3,NA,2,2,2,1,3,2,6,6,6,7,4,5,3,2020,Mainline,Trump
NA,17,2,NA,2,2,2,2,2,2,4,6,4,5,4,3,4,2020,Roman Catholic,NA
1,25,3,NA,1,2,2,2,3,1,4,4,4,4,6,3,3,2020,Roman Catholic,Trump
1,37,4,NA,2,2,1,1,5,5,7,5,7,4,4,5,5,2020,Evangelical,Biden
2,36,1,NA,2,2,1,1,2,1,6,6,6,6,1,2,2,2020,Roman Catholic,Trump
1,42,3,NA,1,2,1,1,4,4,3,4,5,4,3,5,4,2020,Not Religious,Biden
2,4,1,2,2,2,1,2,2,2,4,4,4,4,4,4,4,2020,Mainline,NA
2,12,2,NA,1,1,2,1,4,1,4,4,6,4,2,4,4,2020,NA,Trump
1,8,3,2,1,1,1,1,4,1,4,4,4,4,4,4,4,2020,Roman Catholic,NA
